fiscal_year,month,period_start,district_id,district_name,malaria_microscopy_tests,malaria_microscopy_positive_records,malaria_microscopy_positivity,malaria_rdt_positive_records,malaria_positive_records,malaria_tests,malaria_test_positivity,dengue_positive_records,childhood_diarrhoea_records,source_url,resource_url,source_sha256,metric_scope
2012-13,4,2012-04-01,OD-DIST-angul,Angul,10146,593,0.058446678493987776,,593,10146,0.058446678493987776,,1462,https://www.data.gov.in/sites/default/files/dataurl21122020/hmis-item-2012-13-mn-od-for-Apr.csv,https://www.data.gov.in/resource/item-wise-hmis-report-district-level-odisha-april-2012-13,bd14d20c2747c57b1d0a1d7fe474be54ba1d111b00de90d711329260c7195997,facility_reported_test_and_service_records
2012-13,4,2012-04-01,OD-DIST-balangir,Balangir,9576,197,0.020572263993316624,,197,9576,0.020572263993316624,,1145,https://www.data.gov.in/sites/default/files/dataurl21122020/hmis-item-2012-13-mn-od-for-Apr.csv,https://www.data.gov.in/resource/item-wise-hmis-report-district-level-odisha-april-2012-13,bd14d20c2747c57b1d0a1d7fe474be54ba1d111b00de90d711329260c7195997,facility_reported_test_and_service_records
2012-13,4,2012-04-01,OD-DIST-balasore,Balasore,6416,69,0.010754364089775561,,69,6416,0.010754364089775561,,662,https://www.data.gov.in/sites/default/files/dataurl21122020/hmis-item-2012-13-mn-od-for-Apr.csv,https://www.data.gov.in/resource/item-wise-hmis-report-district-level-odisha-april-2012-13,bd14d20c2747c57b1d0a1d7fe474be54ba1d111b00de90d711329260c7195997,facility_reported_test_and_service_records
2012-13,4,2012-04-01,OD-DIST-bargarh,Bargarh,7061,38,0.005381673983854978,,38,7061,0.005381673983854978,,515,https://www.data.gov.in/sites/default/files/dataurl21122020/hmis-item-2012-13-mn-od-for-Apr.csv,https://www.data.gov.in/resource/item-wise-hmis-report-district-level-odisha-april-2012-13,bd14d20c2747c57b1d0a1d7fe474be54ba1d111b00de90d711329260c7195997,facility_reported_test_and_service_records
2012-13,4,2012-04-01,OD-DIST-bhadrak,Bhadrak,12488,21,0.0016816143497757848,,21,12488,0.0016816143497757848,,338,https://www.data.gov.in/sites/default/files/dataurl21122020/hmis-item-2012-13-mn-od-for-Apr.csv,https://www.data.gov.in/resource/item-wise-hmis-report-district-level-odisha-april-2012-13,bd14d20c2747c57b1d0a1d7fe474be54ba1d111b00de90d711329260c7195997,facility_reported_test_and_service_records
2012-13,4,2012-04-01,OD-DIST-boudh,Boudh,740,40,0.05405405405405406,,40,740,0.05405405405405406,,64,https://www.data.gov.in/sites/default/files/dataurl21122020/hmis-item-2012-13-mn-od-for-Apr.csv,https://www.data.gov.in/resource/item-wise-hmis-report-district-level-odisha-april-2012-13,bd14d20c2747c57b1d0a1d7fe474be54ba1d111b00de90d711329260c7195997,facility_reported_test_and_service_records
2012-13,4,2012-04-01,OD-DIST-cuttack,Cuttack,10348,43,0.00415539234634712,,43,10348,0.00415539234634712,,698,https://www.data.gov.in/sites/default/files/dataurl21122020/hmis-item-2012-13-mn-od-for-Apr.csv,https://www.data.gov.in/resource/item-wise-hmis-report-district-level-odisha-april-2012-13,bd14d20c2747c57b1d0a1d7fe474be54ba1d111b00de90d711329260c7195997,facility_reported_test_and_service_records
2012-13,4,2012-04-01,OD-DIST-deogarh,Deogarh,3678,197,0.05356171832517673,,197,3678,0.05356171832517673,,178,https://www.data.gov.in/sites/default/files/dataurl21122020/hmis-item-2012-13-mn-od-for-Apr.csv,https://www.data.gov.in/resource/item-wise-hmis-report-district-level-odisha-april-2012-13,bd14d20c2747c57b1d0a1d7fe474be54ba1d111b00de90d711329260c7195997,facility_reported_test_and_service_records
2012-13,4,2012-04-01,OD-DIST-dhenkanal,Dhenkanal,9884,289,0.0292391744233104,,289,9884,0.0292391744233104,,731,https://www.data.gov.in/sites/default/files/dataurl21122020/hmis-item-2012-13-mn-od-for-Apr.csv,https://www.data.gov.in/resource/item-wise-hmis-report-district-level-odisha-april-2012-13,bd14d20c2747c57b1d0a1d7fe474be54ba1d111b00de90d711329260c7195997,facility_reported_test_and_service_records
2012-13,4,2012-04-01,OD-DIST-gajapati,Gajapati,4548,481,0.10576077396657872,,481,4548,0.10576077396657872,,646,https://www.data.gov.in/sites/default/files/dataurl21122020/hmis-item-2012-13-mn-od-for-Apr.csv,https://www.data.gov.in/resource/item-wise-hmis-report-district-level-odisha-april-2012-13,bd14d20c2747c57b1d0a1d7fe474be54ba1d111b00de90d711329260c7195997,facility_reported_test_and_service_records
