year,district_id,district_name,population_thousands,total_cases,api,aber,spr,pf_percent,deaths,source_url,source_sha256,metric_scope
2010,OD-DIST-angul,Angul,1329.0,18894,14.22,15.42,9.22,87.74,9,https://ncvbdc.mohfw.gov.in/Doc/Malaria-Annual-Report-2010.pdf,cf0ad56b97057841c36d382a91845821e8bee5f26efe6e5e6c532cb629450a24,official_annual_malaria_report
2010,OD-DIST-balangir,Balangir,1526.0,10111,6.63,13.2,5.02,57.33,0,https://ncvbdc.mohfw.gov.in/Doc/Malaria-Annual-Report-2010.pdf,cf0ad56b97057841c36d382a91845821e8bee5f26efe6e5e6c532cb629450a24,official_annual_malaria_report
2010,OD-DIST-balasore,Balasore,2363.0,1649,0.7,5.16,1.35,72.23,2,https://ncvbdc.mohfw.gov.in/Doc/Malaria-Annual-Report-2010.pdf,cf0ad56b97057841c36d382a91845821e8bee5f26efe6e5e6c532cb629450a24,official_annual_malaria_report
2010,OD-DIST-bargarh,Bargarh,1547.0,2052,1.33,9.13,1.45,70.13,0,https://ncvbdc.mohfw.gov.in/Doc/Malaria-Annual-Report-2010.pdf,cf0ad56b97057841c36d382a91845821e8bee5f26efe6e5e6c532cb629450a24,official_annual_malaria_report
2010,OD-DIST-bhadrak,Bhadrak,1560.0,655,0.42,8.95,0.47,60.61,0,https://ncvbdc.mohfw.gov.in/Doc/Malaria-Annual-Report-2010.pdf,cf0ad56b97057841c36d382a91845821e8bee5f26efe6e5e6c532cb629450a24,official_annual_malaria_report
2010,OD-DIST-boudh,Boudh,434.0,2677,6.17,7.62,8.09,85.84,0,https://ncvbdc.mohfw.gov.in/Doc/Malaria-Annual-Report-2010.pdf,cf0ad56b97057841c36d382a91845821e8bee5f26efe6e5e6c532cb629450a24,official_annual_malaria_report
2010,OD-DIST-cuttack,Cuttack,2730.0,1146,0.42,7.6,0.55,41.36,0,https://ncvbdc.mohfw.gov.in/Doc/Malaria-Annual-Report-2010.pdf,cf0ad56b97057841c36d382a91845821e8bee5f26efe6e5e6c532cb629450a24,official_annual_malaria_report
2010,OD-DIST-deogarh,Deogarh,319.0,6031,18.91,23.3,8.11,85.04,0,https://ncvbdc.mohfw.gov.in/Doc/Malaria-Annual-Report-2010.pdf,cf0ad56b97057841c36d382a91845821e8bee5f26efe6e5e6c532cb629450a24,official_annual_malaria_report
2010,OD-DIST-dhenkanal,Dhenkanal,1228.0,11101,9.04,12.99,6.96,75.29,13,https://ncvbdc.mohfw.gov.in/Doc/Malaria-Annual-Report-2010.pdf,cf0ad56b97057841c36d382a91845821e8bee5f26efe6e5e6c532cb629450a24,official_annual_malaria_report
2010,OD-DIST-gajapati,Gajapati,599.0,8835,14.75,17.27,8.54,96.51,0,https://ncvbdc.mohfw.gov.in/Doc/Malaria-Annual-Report-2010.pdf,cf0ad56b97057841c36d382a91845821e8bee5f26efe6e5e6c532cb629450a24,official_annual_malaria_report
2010,OD-DIST-ganjam,Ganjam,3640.0,12787,3.51,9.01,3.9,85.76,0,https://ncvbdc.mohfw.gov.in/Doc/Malaria-Annual-Report-2010.pdf,cf0ad56b97057841c36d382a91845821e8bee5f26efe6e5e6c532cb629450a24,official_annual_malaria_report
2010,OD-DIST-jagatsinghpur,Jagatsinghpur,1196.0,234,0.2,3.44,0.57,31.62,0,https://ncvbdc.mohfw.gov.in/Doc/Malaria-Annual-Report-2010.pdf,cf0ad56b97057841c36d382a91845821e8bee5f26efe6e5e6c532cb629450a24,official_annual_malaria_report
2010,OD-DIST-jajpur,Jajpur,1887.0,3166,1.68,8.74,1.92,40.11,0,https://ncvbdc.mohfw.gov.in/Doc/Malaria-Annual-Report-2010.pdf,cf0ad56b97057841c36d382a91845821e8bee5f26efe6e5e6c532cb629450a24,official_annual_malaria_report
2010,OD-DIST-jharsuguda,Jharsuguda,596.0,938,1.57,7.53,2.09,92.96,6,https://ncvbdc.mohfw.gov.in/Doc/Malaria-Annual-Report-2010.pdf,cf0ad56b97057841c36d382a91845821e8bee5f26efe6e5e6c532cb629450a24,official_annual_malaria_report
2010,OD-DIST-kalahandi,Kalahandi,1555.0,26721,17.18,16.48,10.43,87.32,38,https://ncvbdc.mohfw.gov.in/Doc/Malaria-Annual-Report-2010.pdf,cf0ad56b97057841c36d382a91845821e8bee5f26efe6e5e6c532cb629450a24,official_annual_malaria_report
2010,OD-DIST-kandhamal,Kandhamal,756.0,36551,48.35,34.04,14.2,94.42,39,https://ncvbdc.mohfw.gov.in/Doc/Malaria-Annual-Report-2010.pdf,cf0ad56b97057841c36d382a91845821e8bee5f26efe6e5e6c532cb629450a24,official_annual_malaria_report
2010,OD-DIST-kendrapara,Kendrapara,1502.0,283,0.19,7.17,0.26,11.66,0,https://ncvbdc.mohfw.gov.in/Doc/Malaria-Annual-Report-2010.pdf,cf0ad56b97057841c36d382a91845821e8bee5f26efe6e5e6c532cb629450a24,official_annual_malaria_report
2010,OD-DIST-keonjhar,Keonjhar,1815.0,30582,16.85,21.36,7.89,93.56,8,https://ncvbdc.mohfw.gov.in/Doc/Malaria-Annual-Report-2010.pdf,cf0ad56b97057841c36d382a91845821e8bee5f26efe6e5e6c532cb629450a24,official_annual_malaria_report
2010,OD-DIST-khordha,Khordha,2213.0,3238,1.46,6.23,2.35,61.27,1,https://ncvbdc.mohfw.gov.in/Doc/Malaria-Annual-Report-2010.pdf,cf0ad56b97057841c36d382a91845821e8bee5f26efe6e5e6c532cb629450a24,official_annual_malaria_report
2010,OD-DIST-koraput,Koraput,1362.0,48559,35.65,18.11,19.69,93.86,33,https://ncvbdc.mohfw.gov.in/Doc/Malaria-Annual-Report-2010.pdf,cf0ad56b97057841c36d382a91845821e8bee5f26efe6e5e6c532cb629450a24,official_annual_malaria_report
2010,OD-DIST-malkangiri,Malkangiri,555.0,25602,46.13,34.98,13.19,91.81,8,https://ncvbdc.mohfw.gov.in/Doc/Malaria-Annual-Report-2010.pdf,cf0ad56b97057841c36d382a91845821e8bee5f26efe6e5e6c532cb629450a24,official_annual_malaria_report
2010,OD-DIST-mayurbhanj,Mayurbhanj,2588.0,23723,9.17,14.72,6.23,95.93,5,https://ncvbdc.mohfw.gov.in/Doc/Malaria-Annual-Report-2010.pdf,cf0ad56b97057841c36d382a91845821e8bee5f26efe6e5e6c532cb629450a24,official_annual_malaria_report
2010,OD-DIST-nabarangpur,Nabarangpur,1191.0,20044,16.83,15.29,11.01,97.71,5,https://ncvbdc.mohfw.gov.in/Doc/Malaria-Annual-Report-2010.pdf,cf0ad56b97057841c36d382a91845821e8bee5f26efe6e5e6c532cb629450a24,official_annual_malaria_report
2010,OD-DIST-nayagarh,Nayagarh,991.0,2964,2.99,8.13,3.68,85.59,0,https://ncvbdc.mohfw.gov.in/Doc/Malaria-Annual-Report-2010.pdf,cf0ad56b97057841c36d382a91845821e8bee5f26efe6e5e6c532cb629450a24,official_annual_malaria_report
2010,OD-DIST-nuapada,Nuapada,612.0,15322,25.04,17.31,14.47,46.78,15,https://ncvbdc.mohfw.gov.in/Doc/Malaria-Annual-Report-2010.pdf,cf0ad56b97057841c36d382a91845821e8bee5f26efe6e5e6c532cb629450a24,official_annual_malaria_report
2010,OD-DIST-puri,Puri,1735.0,56,0.03,3.9,0.08,8.93,0,https://ncvbdc.mohfw.gov.in/Doc/Malaria-Annual-Report-2010.pdf,cf0ad56b97057841c36d382a91845821e8bee5f26efe6e5e6c532cb629450a24,official_annual_malaria_report
